Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,0.513941670628171,5.07646643533542,3.81750462109567,2.94478583082221
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Gibraltar,GIB,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,-9.19623147082588,8.65449785311438,5.74364918958959,2.3321238825698
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greenland,GRL,0.187608793759281,1.29021048770599,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Grenada,GRD,-13.7566222572107,4.68747816934534,7.32074061551874,3.56612861773655
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guam,GUM,-10.5188595714539,2.0581832574708,5.09986426216793,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guatemala,GTM,-1.78555194467604,8.03326771516488,4.20015588892568,3.52679214166824
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea,GIN,4.70459096113575,5.5823328114905,3.97240784200721,6.74493444630886
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guinea-Bissau,GNB,1.49527443726818,6.18267668294831,4.60583180729681,5.19926829741253
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Guyana,GUY,43.479651716849,20.0600280629427,63.3345871591983,33.8026170921817
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Haiti,HTI,-3.30550546965893,-1.79823988931486,-1.68198396897978,-1.86388420254838
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,-8.96508223267296,12.5652843771279,4.14356194013767,3.58260362632656
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Hong Kong SAR, China",HKG,-6.54476757335387,6.45440824066419,-3.68357113148396,3.27652625631858
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,-4.48704604765308,7.06122060972912,4.58340767295068,-0.907685956140242
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,-6.94045309489034,5.25420975317854,8.9925076126915,5.03717943960838
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,-5.77772470686801,9.68959249192875,6.9870393257555,8.1529363109041
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,-2.06551182934165,3.70288562827751,5.30741934775764,5.04810577067288
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Iran, Islamic Rep.",IRN,3.33028845926594,4.71977773157164,3.77663140152906,5.04489051061807
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,-12.0367930931001,1.5021807095434,7.63981140218355,-2.93555773971221
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,7.15789883057209,16.2556132446002,8.61950355191492,-5.53000736095537
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Isle of Man,IMN,-8.8368174000649,3.83783666558899,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,-1.46460564253812,9.34390774596847,6.47037150232485,2.42300691049012
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,-8.86822121046387,8.9310620660078,4.66176265113695,0.69763299419678
